city,state,family,residuals,weather_var
Ambato,Tungurahua,AUTOMOTIVE,-424.2796642519021,temp
Ambato,Tungurahua,BABY CARE,-429.99742043564765,temp
Ambato,Tungurahua,BEAUTY,-426.22577732610705,temp
Ambato,Tungurahua,BEVERAGES,1414.7874735572852,temp
Ambato,Tungurahua,BOOKS,-429.9002472907713,temp
Ambato,Tungurahua,BREAD/BAKERY,-44.80053261762643,temp
Ambato,Tungurahua,CELEBRATION,-415.83664305048865,temp
Ambato,Tungurahua,CLEANING,534.8051414018082,temp
Ambato,Tungurahua,DAIRY,218.1748410484513,temp
Ambato,Tungurahua,DELI,-171.7379315195699,temp
Ambato,Tungurahua,EGGS,-356.4024557713367,temp
Ambato,Tungurahua,FROZEN FOODS,-251.93471816179604,temp
Ambato,Tungurahua,GROCERY I,3113.923074263999,temp
Ambato,Tungurahua,GROCERY II,-395.7200352766371,temp
Ambato,Tungurahua,HARDWARE,-429.3251589515487,temp
Ambato,Tungurahua,HOME AND KITCHEN I,-404.6891165487218,temp
Ambato,Tungurahua,HOME AND KITCHEN II,-406.9930034745169,temp
Ambato,Tungurahua,HOME APPLIANCES,-429.63346283847454,temp
Ambato,Tungurahua,HOME CARE,-279.0049292695699,temp
Ambato,Tungurahua,LADIESWEAR,-422.29203174306815,temp
Ambato,Tungurahua,LAWN AND GARDEN,-427.7430034745169,temp
Ambato,Tungurahua,LINGERIE,-425.1263957006653,temp
Ambato,Tungurahua,"LIQUOR,WINE,BEER",-351.2059010010187,temp
Ambato,Tungurahua,MAGAZINES,-427.2381448172731,temp
Ambato,Tungurahua,MEATS,191.69031414474102,temp
Ambato,Tungurahua,PERSONAL CARE,-168.5910600116194,temp
Ambato,Tungurahua,PET SUPPLIES,-426.9024557713367,temp
Ambato,Tungurahua,PLAYERS AND ELECTRONICS,-423.3490105416547,temp
Ambato,Tungurahua,POULTRY,-89.77825285923424,temp
Ambato,Tungurahua,PREPARED FOODS,-353.43063465517065,temp
Ambato,Tungurahua,PRODUCE,615.4384349972146,temp
Ambato,Tungurahua,SCHOOL AND OFFICE SUPPLIES,-425.0137631918314,temp
Ambato,Tungurahua,SEAFOOD,-411.7021355371936,temp
Babahoyo,Los Rios,AUTOMOTIVE,-221.10144778721508,temp
Babahoyo,Los Rios,BABY CARE,-227.44773753986524,temp
Babahoyo,Los Rios,BEAUTY,-225.78519337025395,temp
Babahoyo,Los Rios,BEVERAGES,1382.6017324247991,temp
Babahoyo,Los Rios,BOOKS,-227.87971633845183,temp
Babahoyo,Los Rios,BREAD/BAKERY,195.0513790679086,temp
Babahoyo,Los Rios,CELEBRATION,-223.29402729251544,temp
Babahoyo,Los Rios,CLEANING,844.0540292445871,temp
Babahoyo,Los Rios,DAIRY,288.48689143539974,temp
Babahoyo,Los Rios,DELI,-6.498115381738046,temp
Babahoyo,Los Rios,EGGS,-7.196854147639101,temp
Babahoyo,Los Rios,FROZEN FOODS,-121.45490475806314,temp
Babahoyo,Los Rios,GROCERY I,3225.64671299017,temp
Babahoyo,Los Rios,GROCERY II,-219.5122251723741,temp
Babahoyo,Los Rios,HARDWARE,-227.2604583879218,temp
Babahoyo,Los Rios,HOME AND KITCHEN I,-215.55374460700307,temp
Babahoyo,Los Rios,HOME AND KITCHEN II,-217.3169954903953,temp
Babahoyo,Los Rios,HOME APPLIANCES,-227.51487534905255,temp
Babahoyo,Los Rios,HOME CARE,-66.87264920064266,temp
Babahoyo,Los Rios,LADIESWEAR,-226.7657587412787,temp
Babahoyo,Los Rios,LAWN AND GARDEN,-226.88148312290411,temp
Babahoyo,Los Rios,LINGERIE,-217.16151845859318,temp
Babahoyo,Los Rios,"LIQUOR,WINE,BEER",-199.0325431935755,temp
Babahoyo,Los Rios,MAGAZINES,-227.36381527838117,temp
Babahoyo,Los Rios,MEATS,62.049658868261986,temp
Babahoyo,Los Rios,PERSONAL CARE,23.397668820558778,temp
Babahoyo,Los Rios,PET SUPPLIES,-226.55904496035996,temp
Babahoyo,Los Rios,PLAYERS AND ELECTRONICS,-223.96187181548362,temp
Babahoyo,Los Rios,POULTRY,-96.79951694799246,temp
Babahoyo,Los Rios,PREPARED FOODS,-161.57356527661437,temp
Babahoyo,Los Rios,PRODUCE,542.4371539619015,temp
Babahoyo,Los Rios,SCHOOL AND OFFICE SUPPLIES,-225.71540538438822,temp
Babahoyo,Los Rios,SEAFOOD,-222.80727817590767,temp
Cayambe,Pichincha,AUTOMOTIVE,-382.7961377194583,temp
Cayambe,Pichincha,BABY CARE,-388.63712711875155,temp
Cayambe,Pichincha,BEAUTY,-384.73430026362786,temp
Cayambe,Pichincha,BEVERAGES,2934.2939682876085,temp
Cayambe,Pichincha,BOOKS,-388.80673842617205,temp
Cayambe,Pichincha,BREAD/BAKERY,183.91940998372195,temp
